2025-04-25 22:56:44,636 - __main__ - INFO - Initializing AlphaZero trainer
2025-04-25 22:56:44,637 - __main__ - INFO - Debug mode: False
2025-04-25 22:56:44,973 - __main__ - INFO - Using device: cuda
2025-04-25 22:56:47,142 - __main__ - INFO - Environment initialized with state_dim=162, action_dim=88
2025-04-25 22:56:47,143 - __main__ - INFO - Training parameters: lr=0.001, weight_decay=0.0001, batch_size=256, replay_size=20000, num_simulations=50
2025-04-25 22:56:47,144 - __main__ - INFO - Starting AlphaZero training for 50 iterations
2025-04-25 22:56:47,144 - __main__ - INFO - Starting iteration 1/50
2025-04-25 22:56:47,144 - __main__ - INFO - Starting self-play phase
2025-04-25 22:56:47,154 - __main__ - INFO - Starting game 1/50
2025-04-25 22:56:49,497 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:56:49,724 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999998807907104, renormalizing
2025-04-25 22:56:50,012 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999998807907104, renormalizing
2025-04-25 22:56:50,246 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999998807907104, renormalizing
2025-04-25 22:56:50,482 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999998807907104, renormalizing
2025-04-25 22:56:50,671 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999998807907104, renormalizing
2025-04-25 22:56:50,870 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999998807907104, renormalizing
2025-04-25 22:56:51,069 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999998807907104, renormalizing
2025-04-25 22:56:51,268 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999998807907104, renormalizing
2025-04-25 22:56:51,476 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999998807907104, renormalizing
2025-04-25 22:56:51,875 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999998807907104, renormalizing
2025-04-25 22:56:52,549 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999998807907104, renormalizing
2025-04-25 22:56:52,776 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999998807907104, renormalizing
2025-04-25 22:56:53,368 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:56:53,961 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:56:57,278 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999998807907104, renormalizing
2025-04-25 22:56:58,140 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:56:58,404 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:56:59,371 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:00,039 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:01,977 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:03,323 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:05,649 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999998807907104, renormalizing
2025-04-25 22:57:06,023 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:09,116 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:15,338 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:19,186 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:19,849 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:20,787 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:22,264 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:24,523 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:25,541 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:26,274 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:27,575 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:29,378 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:35,735 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999998807907104, renormalizing
2025-04-25 22:57:36,079 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:36,342 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:37,541 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:37,834 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999998807907104, renormalizing
2025-04-25 22:57:38,111 - AlphaZero.MCTS - WARNING - Pi sum is 1.0000001192092896, renormalizing
2025-04-25 22:57:40,599 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:41,766 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:42,446 - AlphaZero.MCTS - WARNING - Pi sum is 1.0000001192092896, renormalizing
2025-04-25 22:57:42,898 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:43,483 - AlphaZero.MCTS - WARNING - Pi sum is 1.0000001192092896, renormalizing
2025-04-25 22:57:43,980 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:44,258 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:44,520 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:45,209 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:46,083 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:47,788 - AlphaZero.MCTS - WARNING - Pi sum is 1.0000001192092896, renormalizing
2025-04-25 22:57:48,387 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:48,933 - AlphaZero.MCTS - WARNING - Pi sum is 1.0000001192092896, renormalizing
2025-04-25 22:57:49,191 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:49,452 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:53,379 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:55,464 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:57,847 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:57:59,524 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999998807907104, renormalizing
2025-04-25 22:58:06,378 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:58:07,707 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:58:07,893 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:58:11,748 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:58:12,103 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:58:13,398 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:58:15,610 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:58:17,305 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:58:17,496 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:58:18,112 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:58:19,898 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:58:20,268 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:58:20,763 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:58:26,584 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:58:35,749 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:58:38,092 - AlphaZero.MCTS - WARNING - Pi sum is 1.0000001192092896, renormalizing
2025-04-25 22:58:38,997 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:58:39,307 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:58:40,073 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:58:40,546 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
2025-04-25 22:58:42,356 - AlphaZero.MCTS - WARNING - Pi sum is 0.9999999403953552, renormalizing
