2025-04-29 09:43:42,683 - __main__ - INFO - Initializing AlphaZero trainer
2025-04-29 09:43:42,683 - __main__ - INFO - Debug mode: True
2025-04-29 09:43:42,696 - __main__ - INFO - ==================================================
2025-04-29 09:43:42,696 - __main__ - INFO - DETAILED ENVIRONMENT DIMENSIONS ANALYSIS
2025-04-29 09:43:42,697 - __main__ - INFO - ==================================================
2025-04-29 09:43:42,697 - __main__ - INFO - Card feature dimension: 8
2025-04-29 09:43:42,697 - __main__ - INFO - Primary cards shape: (90, 8)
2025-04-29 09:43:42,697 - __main__ - INFO - 
--- State Dimension Breakdown ---
2025-04-29 09:43:42,697 - __main__ - INFO - 1. Card state: 4 levels × 3 cards × 8 features = 96
2025-04-29 09:43:42,699 - __main__ - INFO - 2. Gems: 6 types = 6
2025-04-29 09:43:42,700 - __main__ - INFO - 3. Player state: 6 (gems) + 5 (other) + 8 × 3 cards = 35
2025-04-29 09:43:42,700 - __main__ - INFO - 4. Noble tiles: 5 nobles × 5 features = 25
2025-04-29 09:43:42,700 - __main__ - INFO - 
Total state dimension: 96 + 6 + 35 + 25 = 162
2025-04-29 09:43:42,700 - __main__ - INFO - Action dimension: 88
2025-04-29 09:43:42,701 - __main__ - INFO - 
--- State Dimension Formula ---
2025-04-29 09:43:42,701 - __main__ - INFO - state_dim = (4 × 3 × 8) + 6 + (6 + 5 + 8 × 3) + (5 × 5)
2025-04-29 09:43:42,701 - __main__ - INFO - state_dim = 96 + 6 + 11 + 24 + 25
2025-04-29 09:43:42,701 - __main__ - INFO - state_dim = 120 + 42 = 162
2025-04-29 09:43:42,926 - __main__ - INFO - Using device: cuda
2025-04-29 09:43:44,204 - __main__ - INFO - Environment initialized with state_dim=162, action_dim=88
2025-04-29 09:43:44,204 - __main__ - INFO - Training parameters: lr=0.001, weight_decay=0.0001, batch_size=2048, replay_size=10000, num_simulations=100
2025-04-29 09:43:44,205 - __main__ - INFO - ==================================================
2025-04-29 09:43:44,207 - __main__ - WARNING - Model file models/alphazero_final.pth not found. Starting with a new model.
2025-04-29 09:43:44,207 - __main__ - INFO - Starting AlphaZero training from iteration 1 for 20 iterations
2025-04-29 09:43:44,207 - __main__ - INFO - Starting iteration 1/20
2025-04-29 09:43:44,207 - __main__ - INFO - Starting self-play phase
2025-04-29 09:43:44,223 - __main__ - INFO - Starting game 1/20
2025-04-29 09:43:45,890 - __main__ - DEBUG - Game 1, Step 1: Player 0 chose action 11
2025-04-29 09:43:46,322 - __main__ - DEBUG - Game 1, Step 2: Player 1 chose action 20
2025-04-29 09:43:46,769 - __main__ - DEBUG - Game 1, Step 3: Player 2 chose action 22
2025-04-29 09:43:47,190 - __main__ - DEBUG - Game 1, Step 4: Player 3 chose action 47
2025-04-29 09:43:47,634 - __main__ - DEBUG - Game 1, Step 5: Player 0 chose action 45
2025-04-29 09:43:48,169 - __main__ - DEBUG - Game 1, Step 6: Player 1 chose action 52
2025-04-29 09:43:48,629 - __main__ - DEBUG - Game 1, Step 7: Player 2 chose action 10
2025-04-29 09:43:49,083 - __main__ - DEBUG - Game 1, Step 8: Player 3 chose action 11
2025-04-29 09:43:49,546 - __main__ - DEBUG - Game 1, Step 9: Player 0 chose action 11
2025-04-29 09:43:49,996 - __main__ - DEBUG - Game 1, Step 10: Player 1 chose action 10
2025-04-29 09:43:50,461 - __main__ - DEBUG - Game 1, Step 11: Player 2 chose action 28
2025-04-29 09:43:50,941 - __main__ - DEBUG - Game 1, Step 12: Player 3 chose action 12
2025-04-29 09:43:51,429 - __main__ - DEBUG - Game 1, Step 13: Player 0 chose action 24
2025-04-29 09:43:51,940 - __main__ - DEBUG - Game 1, Step 14: Player 1 chose action 13
2025-04-29 09:43:52,552 - __main__ - DEBUG - Game 1, Step 15: Player 2 chose action 50
2025-04-29 09:43:53,271 - __main__ - DEBUG - Game 1, Step 16: Player 3 chose action 0
2025-04-29 09:43:54,055 - __main__ - DEBUG - Game 1, Step 17: Player 0 chose action 42
2025-04-29 09:43:54,662 - __main__ - DEBUG - Game 1, Step 18: Player 1 chose action 27
2025-04-29 09:43:55,257 - __main__ - DEBUG - Game 1, Step 19: Player 2 chose action 46
2025-04-29 09:43:55,838 - __main__ - DEBUG - Game 1, Step 20: Player 3 chose action 42
