2025-04-15 21:08:33,158 - INFO - Starting Dueling DQN training for SplendorLightZeroEnv
2025-04-15 21:08:34,384 - INFO - Loaded model weights from ../splendor/models/dueling_model_final.pth
2025-04-15 21:08:34,384 - INFO - Environment initialized with state_dim=162, action_dim=88
2025-04-15 21:08:34,385 - INFO - Training parameters: episodes=1000, batch_size=512, gamma=0.99, epsilon_start=1.0
2025-04-15 21:08:34,390 - INFO - Player 1, Action 17, Total tokens 3, Next player 1
2025-04-15 21:08:34,392 - INFO - Player 2, Action 11, Total tokens 2, Next player 2
2025-04-15 21:08:34,396 - INFO - Player 3, Action 45, Total tokens 1, Next player 3
2025-04-15 21:08:34,399 - INFO - Player 0, Action 44, Total tokens 1, Next player 0
2025-04-15 21:08:34,403 - INFO - Player 1, Action 47, Total tokens 4, Next player 1
2025-04-15 21:08:34,406 - INFO - Player 2, Action 1, Total tokens 3, Next player 2
2025-04-15 21:08:34,409 - INFO - Player 3, Action 46, Total tokens 2, Next player 3
2025-04-15 21:08:34,412 - INFO - Player 0, Action 23, Total tokens 4, Next player 0
2025-04-15 21:08:34,415 - INFO - Player 1, Action 13, Total tokens 6, Next player 1
2025-04-15 21:08:34,418 - INFO - Player 2, Action 15, Total tokens 6, Next player 2
2025-04-15 21:08:34,420 - INFO - Player 3, Action 20, Total tokens 5, Next player 3
2025-04-15 21:08:34,423 - INFO - Player 0, Action 43, Total tokens 5, Next player 0
2025-04-15 21:08:34,426 - INFO - Player 1, Action 45, Total tokens 6, Next player 1
2025-04-15 21:08:34,429 - INFO - Player 2, Action 18, Total tokens 9, Next player 2
2025-04-15 21:08:34,431 - INFO - Player 3, Action 1, Total tokens 6, Next player 3
2025-04-15 21:08:34,434 - INFO - Player 0, Action 28, Total tokens 7, Next player 0
2025-04-15 21:08:34,437 - INFO - Player 1, Action 30, Total tokens 3, Next player 1
2025-04-15 21:08:34,440 - INFO - Player 2, Action 23, Total tokens 12, Next player 2
2025-04-15 21:08:34,442 - INFO - Player 3, Action 49, Total tokens 7, Next player 3
2025-04-15 21:08:34,445 - INFO - Player 0, Action 18, Total tokens 10, Next player 0
2025-04-15 21:08:34,447 - INFO - Player 1, Action 44, Total tokens 3, Next player 1
2025-04-15 21:08:34,449 - INFO - Player 2, Action 74, Total tokens 9, Next player 2
2025-04-15 21:08:34,452 - INFO - Player 3, Action 33, Total tokens 4, Next player 3
2025-04-15 21:08:34,456 - INFO - Player 0, Action 50, Total tokens 11, Next player 0
2025-04-15 21:08:34,459 - INFO - Player 1, Action 2, Total tokens 4, Next player 1
2025-04-15 21:08:34,463 - INFO - Player 2, Action 27, Total tokens 11, Next player 2
2025-04-15 21:08:34,465 - INFO - Player 3, Action 16, Total tokens 7, Next player 3
2025-04-15 21:08:34,467 - INFO - Player 0, Action 65, Total tokens 9, Next player 0
2025-04-15 21:08:34,469 - INFO - Player 1, Action 4, Total tokens 5, Next player 1
2025-04-15 21:08:34,472 - INFO - Player 2, Action 65, Total tokens 9, Next player 2
