2025-04-15 21:18:25,651 - INFO - Starting Dueling DQN training for SplendorLightZeroEnv
2025-04-15 21:18:26,982 - INFO - Loaded model weights from ../splendor/models/dueling_model_final.pth
2025-04-15 21:18:26,982 - INFO - Environment initialized with state_dim=162, action_dim=88
2025-04-15 21:18:26,982 - INFO - Training parameters: episodes=1000, batch_size=512, gamma=0.99, epsilon_start=1.0
2025-04-15 21:18:26,988 - INFO - Player 1, Action 4, Action type pick token, Total tokens 1, Next player 1
2025-04-15 21:18:26,990 - INFO - Player 2, Action 10, Action type pick token, Total tokens 2, Next player 2
2025-04-15 21:18:26,992 - INFO - Player 3, Action 27, Action type pick token, Total tokens 2, Next player 3
2025-04-15 21:18:26,996 - INFO - Player 0, Action 48, Action type reserve card, Total tokens 1, Next player 0
2025-04-15 21:18:26,998 - INFO - Player 1, Action 27, Action type pick token, Total tokens 3, Next player 1
2025-04-15 21:18:27,000 - INFO - Player 2, Action 23, Action type pick token, Total tokens 5, Next player 2
2025-04-15 21:18:27,002 - INFO - Player 3, Action 11, Action type pick token, Total tokens 4, Next player 3
2025-04-15 21:18:27,004 - INFO - Player 0, Action 29, Action type pick token, Total tokens 3, Next player 0
2025-04-15 21:18:27,006 - INFO - Player 1, Action 20, Action type pick token, Total tokens 6, Next player 1
2025-04-15 21:18:27,008 - INFO - Player 2, Action 28, Action type pick token, Total tokens 7, Next player 2
2025-04-15 21:18:27,011 - INFO - Player 3, Action 1, Action type pick token, Total tokens 5, Next player 3
2025-04-15 21:18:27,013 - INFO - Player 0, Action 45, Action type reserve card, Total tokens 4, Next player 0
2025-04-15 21:18:27,016 - INFO - Player 1, Action 17, Action type pick token, Total tokens 9, Next player 1
2025-04-15 21:18:27,019 - INFO - Player 2, Action 2, Action type pick token, Total tokens 8, Next player 2
2025-04-15 21:18:27,022 - INFO - Player 3, Action 47, Action type reserve card, Total tokens 6, Next player 3
2025-04-15 21:18:27,024 - INFO - Player 0, Action 7, Action type pick token, Total tokens 6, Next player 0
2025-04-15 21:18:27,026 - INFO - Player 1, Action 43, Action type reserve card, Total tokens 10, Next player 1
2025-04-15 21:18:27,028 - INFO - Player 2, Action 9, Action type pick token, Total tokens 10, Next player 2
