2025-04-15 21:35:28,486 - INFO - Starting Dueling DQN training for SplendorLightZeroEnv
2025-04-15 21:35:30,255 - INFO - Environment initialized with state_dim=162, action_dim=88
2025-04-15 21:35:30,255 - INFO - Training parameters: episodes=1000, batch_size=512, gamma=0.99, epsilon_start=1.0
2025-04-15 21:35:30,259 - INFO - Player 1, Action 17, Action type pick token, Total tokens 3, Next player 1
2025-04-15 21:35:30,260 - INFO - Player 2, Action 14, Action type pick token, Total tokens 2, Next player 2
2025-04-15 21:35:30,262 - INFO - Player 3, Action 27, Action type pick token, Total tokens 2, Next player 3
2025-04-15 21:35:30,264 - INFO - Player 0, Action 14, Action type pick token, Total tokens 2, Next player 0
2025-04-15 21:35:30,265 - INFO - Player 1, Action 13, Action type pick token, Total tokens 5, Next player 1
2025-04-15 21:35:30,267 - INFO - Player 2, Action 11, Action type pick token, Total tokens 4, Next player 2
2025-04-15 21:35:30,269 - INFO - Player 3, Action 8, Action type pick token, Total tokens 4, Next player 3
2025-04-15 21:35:30,271 - INFO - Player 0, Action 12, Action type pick token, Total tokens 4, Next player 0
2025-04-15 21:35:30,272 - INFO - Player 1, Action 9, Action type pick token, Total tokens 7, Next player 1
2025-04-15 21:35:30,276 - INFO - Player 2, Action 43, Action type reserve card, Total tokens 5, Next player 2
2025-04-15 21:35:30,278 - INFO - Player 3, Action 9, Action type pick token, Total tokens 6, Next player 3
2025-04-15 21:35:30,281 - INFO - Player 0, Action 43, Action type reserve card, Total tokens 5, Next player 0
2025-04-15 21:35:30,283 - INFO - Player 1, Action 42, Action type reserve card, Total tokens 8, Next player 1
2025-04-15 21:35:30,285 - INFO - Player 2, Action 4, Action type pick token, Total tokens 6, Next player 2
2025-04-15 21:35:30,288 - INFO - Player 3, Action 30, Action type buy card, Total tokens 3, Next player 3
2025-04-15 21:35:30,290 - INFO - Player 0, Action 5, Action type pick token, Total tokens 7, Next player 0
2025-04-15 21:35:30,293 - INFO - Player 1, Action 53, Action type reserve card, Total tokens 9, Next player 1
2025-04-15 21:35:30,295 - INFO - Player 2, Action 6, Action type pick token, Total tokens 8, Next player 2
2025-04-15 21:35:30,297 - INFO - Player 3, Action 49, Action type reserve card, Total tokens 4, Next player 3
2025-04-15 21:35:30,299 - INFO - Player 0, Action 26, Action type pick token, Total tokens 9, Next player 0
2025-04-15 21:35:30,301 - INFO - Player 1, Action 47, Action type reserve card, Total tokens 9, Next player 1
2025-04-15 21:35:30,304 - INFO - Player 2, Action 49, Action type reserve card, Total tokens 8, Next player 2
2025-04-15 21:35:30,305 - INFO - Player 3, Action 25, Action type pick token, Total tokens 6, Next player 3
2025-04-15 21:35:30,307 - INFO - Player 0, Action 51, Action type reserve card, Total tokens 9, Next player 0
2025-04-15 21:35:30,309 - INFO - Player 1, Action 12, Action type pick token, Total tokens 11, Next player 1
2025-04-15 21:35:30,311 - INFO - Player 2, Action 50, Action type reserve card, Total tokens 8, Next player 2
2025-04-15 21:35:30,313 - INFO - Player 3, Action 12, Action type pick token, Total tokens 8, Next player 3
2025-04-15 21:35:30,315 - INFO - Player 0, Action 28, Action type pick token, Total tokens 11, Next player 0
2025-04-15 21:35:30,316 - INFO - Player 1, Action 68, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:35:30,318 - INFO - Player 2, Action 11, Action type pick token, Total tokens 10, Next player 2
2025-04-15 21:35:30,320 - INFO - Player 3, Action 32, Action type buy card, Total tokens 4, Next player 3
2025-04-15 21:35:30,321 - INFO - Player 0, Action 77, Action type return token, Total tokens 8, Next player 0
2025-04-15 21:35:30,323 - INFO - Player 1, Action 6, Action type pick token, Total tokens 11, Next player 1
2025-04-15 21:35:30,325 - INFO - Player 2, Action 1, Action type pick token, Total tokens 11, Next player 2
2025-04-15 21:35:30,327 - INFO - Player 3, Action 49, Action type reserve card, Total tokens 5, Next player 3
2025-04-15 21:35:30,329 - INFO - Player 0, Action 8, Action type pick token, Total tokens 10, Next player 0
2025-04-15 21:35:30,330 - INFO - Player 1, Action 82, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:35:30,331 - INFO - Player 2, Action 70, Action type return token, Total tokens 9, Next player 2
